Vserver Type,Partition Name,Vserver State,Vserver State Timestamp,Vserver IP Address,Vserver Name,Hostname,Display Name,Vserver Health,App Security,Vserver Effective State,Vserver Port
SSL,,Up,"146 days, 17h : 24m : 20s",10.82.134.5,vm8440,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.130,vm8441,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.21,vm8442,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Up,"146 days, 17h : 24m : 20s",10.82.134.5,vm8443,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,80
SSL,,Down,"149 days, 20h : 46m : 07s",0.0.0.0,vm8444,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,0
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.253,vm8445,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm8446,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,5443
HTTP,,Up,"146 days, 17h : 24m : 20s",10.82.134.14,vm8447,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,80
SSL_BRIDGE,,Down,"146 days, 17h : 35m : 24s",192.168.1.1,vm8448,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.6,vm8449,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Out of Service,"46 days, 01h : 47m : 58s",10.82.134.14,vm8450,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.19,vm8451,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
TCP,,Up,"146 days, 17h : 24m : 20s",10.82.134.13,vm8452,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,7520
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.12,vm8453,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",0.0.0.0,vm8454,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.88,vm8455,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Out of Service,00h : 00m : 26s,10.82.134.17,vm8456,nhqnscab5a,10.86.90.101-10.86.90.102,67,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.13,vm8457,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.251,vm8458,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
TCP,,Out of Service,00h : 00m : 11s,10.82.134.16,vm8459,nhqnscab5a,10.86.90.101-10.86.90.102,67,,DOWN,4447
SSL_TCP,,Out of Service,00h : 00m : 11s,10.247.216.48,vm8460,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,6514
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.6,vm8461,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm8462,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,4903
HTTP,,Down,"110 days, 08h : 25m : 27s",10.82.134.40,vm8463,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"110 days, 08h : 25m : 27s",10.82.134.18,vm8464,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.88.96.143,vm8465,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"110 days, 08h : 26m : 45s",10.82.138.20,vm8466,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,80
HTTP,,Out of Service,"118 days, 18h : 58m : 14s",10.82.134.247,vm8467,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,80
SSL_BRIDGE,,Out of Service,"46 days, 01h : 48m : 10s",10.82.134.20,vm8468,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,10550
SSL,,Down,"149 days, 20h : 46m : 07s",10.82.138.12,vm8469,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",0.0.0.0,vm8470,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.253,vm8471,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.88.96.145,vm8472,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Up,"111 days, 19h : 21m : 25s",10.82.134.16,vm8473,nhqnscab5a,10.86.90.101-10.86.90.102,67,,UP,80
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.12,vm8474,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
HTTP,,Out of Service,00h : 00m : 15s,10.82.134.252,vm8475,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,80
HTTP,,Up,"70 days, 15h : 37m : 47s",10.82.134.17,vm8476,nhqnscab5a,10.86.90.101-10.86.90.102,67,,UP,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.247.216.48,vm8477,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
